"filename", "language", "XML", "JSON with Comments", "Markdown", "JavaScript", "JSON", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\README.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 14, 38
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\api\burners\del\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 0, 1, 7, 40
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\api\burners\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 46, 0, 2, 9, 57
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 188, 0, 0, 7, 12, 207
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\burner-wallets\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\burner-wallets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 186, 0, 0, 1, 15, 202
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\gasless-by-kora\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 1, 5, 99
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\raydium-swaps\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\raydium-swaps\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 178, 0, 0, 6, 16, 200
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 6, 31
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\guides\creating-wallets\Creating Passkey-Based Wallets with Lazorkit.md", "Markdown", 0, 0, 130, 0, 0, 0, 0, 0, 0, 42, 172
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\guides\creating-wallets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 271, 0, 0, 1, 4, 276
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\guides\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\guides\triggering-gasless-txns\Triggering Gasless Transactions Via Lazorkit.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 0, 0, 14, 66
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\guides\triggering-gasless-txns\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 3, 55
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\hooks\useBalances.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 52, 0, 1, 5, 58
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\hooks\useTransfer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 75, 0, 0, 11, 86
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 1, 6, 46
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 2, 4, 77
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\AddressButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 1, 3, 17
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\BurnerModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 11, 14, 141
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\CodeBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\ConnectionButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 2, 2, 22
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\Divider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\WalletConnect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\WalletHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 3, 19
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\balance.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\burner.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 0, 2, 10, 44
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\clipboard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 7, 3, 15
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\constants.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 1, 2, 8
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\db.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 86, 0, 7, 28, 121
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\solana.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 2, 9, 53
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\subscriptions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\transfer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 8, 55
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 1, 3, 8
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\package-lock.json", "JSON", 0, 0, 0, 0, 10937, 0, 0, 0, 0, 1, 10938
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\package.json", "JSON", 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 43
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\file.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\globe.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\next.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\vercel.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\window.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 5, 34, 206, 20, 10979, 1319, 448, 25, 59, 289, 13384
